sales_id,date_sk,store_sk,product_sk,customer_sk,promotion_sk,quantity,unit_price,gross_amount,discount_amount,net_amount,payment_method
1,1,5,2,8,1,3,3.1,9.3,0.93,8.37,Digital Wallet
2,1,5,7,8,1,4,24.6,98.4,9.84,88.56,Cash
3,1,3,8,17,,2,7.54,15.08,0.0,15.08,Card
4,1,5,8,33,1,1,7.57,7.57,0.76,6.81,Card
5,1,1,4,18,,4,5.5,22.0,0.0,22.0,Cash
6,1,1,2,39,,5,3.12,15.600000000000001,0.0,15.6,Cash
7,1,1,1,16,,1,2.41,2.41,0.0,2.41,Card
8,1,2,7,22,1,1,25.99,25.99,2.6,23.39,Digital Wallet
9,1,3,2,33,,3,3.17,9.51,0.0,9.51,Cash
10,1,4,2,30,1,1,3.22,3.22,0.32,2.9,Card
11,1,2,1,37,1,1,2.58,2.58,0.26,2.32,Digital Wallet
12,1,2,3,25,,3,2.95,8.850000000000001,0.0,8.85,Cash
13,1,3,3,16,1,1,2.95,2.95,0.3,2.65,Card
14,1,4,2,16,,1,3.17,3.17,0.0,3.17,Card
15,1,1,6,37,,1,184.84,184.84,0.0,184.84,Card
16,1,2,8,32,1,2,7.28,14.56,1.46,13.1,Cash
17,1,1,10,32,1,1,450.02,450.02,45.0,405.02,Cash
18,1,1,10,37,,1,454.95,454.95,0.0,454.95,Digital Wallet
19,1,2,3,29,1,1,3.01,3.01,0.3,2.71,Card
20,1,2,8,34,,1,7.4,7.4,0.0,7.4,Card
21,1,3,10,36,,1,453.03,453.03,0.0,453.03,Card
22,1,3,10,36,1,1,448.29,448.29,44.83,403.46,Cash
23,1,5,3,13,1,2,2.97,5.94,0.59,5.35,Card
24,1,3,5,12,,1,318.46,318.46,0.0,318.46,Digital Wallet
25,1,1,4,14,,3,5.51,16.53,0.0,16.53,Card
26,1,5,9,39,,1,8.85,8.85,0.0,8.85,Card
27,1,2,6,23,,1,185.49,185.49,0.0,185.49,Cash
28,1,2,8,38,,1,7.55,7.55,0.0,7.55,Card
29,1,2,10,2,,1,459.37,459.37,0.0,459.37,Gift Card
30,1,4,4,31,1,2,5.44,10.88,1.09,9.79,Card
31,1,3,3,28,1,6,2.96,17.759999999999998,1.78,15.98,Card
32,1,5,10,32,,1,426.92,426.92,0.0,426.92,Card
33,1,5,10,37,1,1,456.58,456.58,45.66,410.92,Card
34,1,1,8,31,1,6,7.33,43.980000000000004,4.4,39.58,Card
35,1,5,3,28,1,2,2.94,5.88,0.59,5.29,Card
36,1,1,3,20,1,2,2.91,5.82,0.58,5.24,Digital Wallet
37,1,3,9,25,,3,8.98,26.94,0.0,26.94,Gift Card
38,1,1,5,26,1,1,297.31,297.31,29.73,267.58,Digital Wallet
39,1,3,8,33,,2,7.49,14.98,0.0,14.98,Digital Wallet
40,1,2,5,21,,1,299.28,299.28,0.0,299.28,Card
41,1,3,3,4,,2,2.94,5.88,0.0,5.88,Card
42,1,3,7,12,,2,24.84,49.68,0.0,49.68,Card
43,1,5,8,2,,6,7.53,45.18,0.0,45.18,Card
44,1,4,4,17,,2,5.44,10.88,0.0,10.88,Card
45,1,5,10,2,1,1,459.08,459.08,45.91,413.17,Card
46,1,1,6,16,1,1,173.84,173.84,17.38,156.46,Card
47,1,4,3,25,1,3,2.96,8.879999999999999,0.89,7.99,Card
48,1,1,7,12,,1,24.59,24.59,0.0,24.59,Cash
49,1,1,2,22,,1,3.18,3.18,0.0,3.18,Cash
50,1,5,10,22,1,1,447.02,447.02,44.7,402.32,Cash
51,1,2,9,14,,1,9.15,9.15,0.0,9.15,Card
52,1,2,6,35,1,1,180.69,180.69,18.07,162.62,Card
53,2,1,10,22,,1,442.06,442.06,0.0,442.06,Card
54,2,4,4,18,,1,5.45,5.45,0.0,5.45,Card
55,2,1,8,37,1,2,7.28,14.56,1.46,13.1,Card
56,2,4,10,30,1,1,454.06,454.06,45.41,408.65,Digital Wallet
